"ID","commentjust","commentrec","convincing","discover","diverse_on_a","diversity","popularity","time","trust","understood"
"4221f534-a566-4fe1-af3b-2e73067a521c","","""I've already watched 4 of the 5 recommended movies, which means it has effectively understood my taste.""","More B","Much More B","0","More A","More B","Tue Apr 18 2023 10:05:30 GMT-0300 (Brasilia Standard Time)","More B","More B"
"3cdae0e0-3b22-46f3-a286-f502d2115f80","","","Much More A","Much More A","0","Much More A","Much More A","Thu Apr 20 2023 16:28:55 GMT-0300 (Horário Padrão de Brasília)","Much More A","Much More A"
"8865717f-1ee0-4efb-a09b-e1173e28cf04","""If I consider 2 justifications, it seems it was only added some words to explain. It does not have the hability to provide a different justification.""","""I did not like the recommendations ""","Equal","Equal","1","Equal","Equal","Thu Apr 13 2023 12:11:57 GMT-0300 (Horário Padrão de Brasília)","Equal","Equal"
"7d6d6774-c7b1-49c4-b4e4-c62bfd4588d1","","","More B","Equal","0","Much More B","More A","Sat Apr 22 2023 16:43:17 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"b4d1204b-42cf-4a56-b0f7-6813795a2923","","","Equal","Much More B","1","More A","More A","Sat Apr 22 2023 16:25:25 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"73154f98-a5ae-4b38-9202-e688a0a86e28","I would not use the criteria addopted","I would not choose these recommendation","More A","More B","0","More A","More A","Thu Apr 20 2023 20:29:17 GMT-0300 (Horário Padrão de Brasília)","More A","More A"
"277ace42-bf8e-4af7-82a2-f2a98ffdad95","","","Equal","Equal","1","More B","Equal","Thu Apr 20 2023 13:31:36 GMT-0300 (Horário Padrão de Brasília)","Equal","More B"
"ee8986ab-7ee0-4349-b578-710a33058958","","","Equal","More B","1","Equal","More B","Sat Apr 22 2023 19:25:43 GMT-0300 (Horário Padrão de Brasília)","Equal","Equal"
"b7d90b39-7606-47bf-8552-d8670e7e015a","Also justify with movie plot and genre elements.","The recommendations are great! Also it would be nice to have recommendations that considered movie genre and plot elements.","More A","More A","0","Equal","More B","Sat Apr 22 2023 18:10:45 GMT-0300 (Brasilia Standard Time)","Much More A","More B"
"282ef334-b2de-4873-b8c0-e6e94b9777e2","","","Equal","Equal","0","Equal","Equal","Wed Apr 19 2023 21:29:38 GMT-0300 (Horário Padrão de Brasília)","Equal","Equal"
"42aab9b2-db24-421f-ace6-4564397942ae","","","More B","More A","1","Equal","More A","Mon Apr 24 2023 12:59:09 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"1cf52f56-d06f-4f56-9b6c-3894edeb795b","""The explanations in A are better and more trustable than B. I only think that other reasons, like the genre, can also explain why such films were recommended.""","""Recommendations are not bad. I only missed some animation :D ""","More A","Equal","1","More A","More B","Thu Apr 13 2023 22:32:38 GMT+0200 (Central European Summer Time)","More A","More A"
"26bbc9a9-86bb-4974-a1b5-6601b511ba4d","","","More B","Equal","1","Equal","More B","Sat Apr 22 2023 20:04:06 GMT-0300 (Brasilia Standard Time)","More B","More B"
"c6b8f3a6-e89d-40c7-9d65-e58bd693d299","""Most explanations B bring technically very specific justifications such as """"best sound mixing"""". Explanations A bring elements better known to the general public such as actors, directors and awards. Explanations B can bring new information (or new relationships or even common curiosities) that arouse the curiosity of the public. People can also learn or get to know the product better through the justifications.""","""I think the reliability of the recommendation is related to the main elements known to the public. The recommendation is reliable when it presents relationships with elements most considered by the public. Perhaps a balance between popular, technical and market explanations can give more credibility to the recommendations.What builds trust? I think the recommendation should show its commitment to pleasing the consumer more than encouraging consumption for financial reasons.""","More A","More B","1","Much More A","Much More A","Thu Apr 13 2023 11:16:54 GMT-0300 (Horário Padrão de Brasília)","More A","More A"
"2d7fa883-3b29-4bd3-b592-54fc656a68bc","","","More A","More B","1","More A","Equal","Sat Apr 22 2023 16:22:02 GMT-0300 (Horário Padrão de Brasília)","Equal","More B"
"99a9b0db-5c2f-474a-b623-73b252e9ca1f","""I've never used information like """"award for best picture"""" to choose a movie. Sometimes, when a actor or actress that I like is in the movie it makes me a bit more willing to watch it, but not that much, but still more useful than best sound something. ""","""In general, I like like the recommendations. It wasn't perfect but alright. I like three out of five that was: E.T., Breavehart and One Flew Over the Cuckoo's Nest""","More A","Equal","1","More A","Equal","Thu Apr 20 2023 12:42:24 GMT-0300 (Horário Padrão de Brasília)","More A","Much More A"
"d119bb66-0100-4517-8d68-0eb4a95b5a60","""As justificativas do grupo B estão mais diversas do que a do grupo A. Essas que foram dadas pelo grupo A parecem mais genéricas. Já as do grupo B parecem mais diversas, porém algumas vezes citam aspectos que eu não consideraria na hora de escolher o filme.""","""Os filmes recomendados são muito bons e de acordo com as minhas preferências. ""","Much More B","Much More B","0","Much More B","More A","Thu Apr 13 2023 18:52:53 GMT-0300 (Horário Padrão de Brasília)","More B","Much More B"
"e22a42d5-fd97-4040-b6ef-292b90521125","As justificativas do grupo A são mais interessantes e chamativas do que as do B para ajudar na decisão (ou não) de assistir ao filme. Exemplo: Apollo 13.","""Por ter selecionado um mix de filmes, curti as recomendações.""","Much More A","More A","0","More A","Much More A","Thu Apr 13 2023 15:29:51 GMT-0300 (Horário Padrão de Brasília)","More A","More A"
"1cdedd0e-ada1-4901-9443-b9fe73ee4eaf","","","More A","More B","0","More B","More A","Wed Apr 19 2023 18:21:40 GMT-0300 (Horário Padrão de Brasília)","More A","More A"
"1670be4a-56a4-401b-a64a-ea8490643f1d","","","Much More A","Much More B","0","More B","Much More A","Sat Apr 22 2023 19:03:10 GMT-0300 (Brasilia Standard Time)","More A","More A"
"38cdc324-2d9a-42c4-b2f3-44448d149cc4","","","More A","More A","1","More A","More B","Sat Apr 22 2023 17:23:20 GMT-0300 (Horário Padrão de Brasília)","More A","Equal"
"f3e38d6e-4c4e-4007-b66b-79db1dad2716","""Some criteria are not usual or primary one on selecting a movie to see, such as sound mixing or producer. ""","""Only some of them would my primary choice ""","Equal","More A","1","More A","Equal","Thu Apr 20 2023 20:23:53 GMT-0300 (Horário Padrão de Brasília)","Equal","Equal"
"dc9db4df-d42a-42cd-879a-e678a69ed5c7","","","More A","More A","0","More A","More A","Sat Apr 22 2023 20:20:00 GMT-0300 (Brasilia Standard Time)","More A","More A"
"94cb0ad6-df69-4c3a-9df6-0d737a7c8add","","","More B","More B","1","More B","More B","Wed Apr 19 2023 21:22:14 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"5efdbde1-5292-492b-b951-b97cb2c150f6","","","More B","Equal","0","Equal","More B","Wed Apr 12 2023 23:08:11 GMT-0300 (Brasilia Standard Time)","More B","More B"
"bc9cb0c4-fd45-47d8-a975-5333691e2f9f","""I think that List B made more reasonable explanations. ""","""Recommendation made sense according to the chosen favorite list. ""","Much More B","More A","1","More A","Much More B","Sat Apr 22 2023 17:52:32 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"9c577360-04b1-483a-a984-a02a2a2c4689","","","Equal","More B","0","More B","More B","Sat Apr 22 2023 19:20:11 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"33db9956-4b5b-47ab-b3d1-6f76c42384f7","","","More A","Equal","1","More A","Equal","Sat Apr 22 2023 16:54:08 GMT-0300 (Horário Padrão de Brasília)","More A","More A"
"efc098b3-f010-4de5-8770-6e7381874f5b","""Honestly, even with both justifications I still think that most of the recommendation process is unknown for the user as they seem more specific than just the genre by itself. The explanation B which gave me the impression of more specific helps unfold a bit of the process by giving kind of """"technical"""" reasons like director, cast or composer, but still I believe it is not completely explained.""","""All recomendations were pretty on point except for maybe The Abyss. I actually discovered a movie that i've never heard of before """"Brazil"""" and i might watch it someday. The movies recommended match my style""","More B","More B","0","Equal","Equal","Thu Apr 20 2023 10:30:40 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"9f2a10e2-edf4-4443-9d3c-531d9030edb7","","","More A","More A","1","Equal","Equal","Sat Apr 22 2023 10:29:45 GMT-0300 (Horário Padrão de Brasília)","Equal","More B"
"0903e4d7-0117-43ac-9ba1-67a34ee4f584","","","More B","More A","1","More B","Much More B","Wed Apr 19 2023 23:12:51 GMT-0300 (Brasilia Standard Time)","More B","More A"
"d37720ea-fab8-4302-8674-808017d7bf1e","","","Much More A","Equal","0","More A","Much More A","Wed Apr 19 2023 19:33:46 GMT-0300 (Brasilia Standard Time)","Much More A","More A"
"ce768b16-47b8-4ab1-b423-5e465434e5a5","","","Equal","Equal","0","More A","More A","Sat Apr 22 2023 17:42:59 GMT-0300 (Brasilia Standard Time)","Equal","More A"
"751c5e42-c91a-4d97-994b-54c021c0accb","","","More B","Equal","0","Equal","More B","Thu Apr 13 2023 21:15:02 GMT-0300 (Horário Padrão de Brasília)","More B","Equal"
"fb63a3e6-6944-4b0c-8cd1-64513f81f0ea","","","Equal","Equal","0","Equal","Equal","Sun Apr 23 2023 13:40:15 GMT-0300 (Brasilia Standard Time)","Equal","Equal"
"912f4714-a42b-4b58-ab9d-5fc5f1ab7a99","","","Equal","Much More A","1","Equal","More B","Thu Apr 13 2023 10:32:58 GMT-0300 (Brasilia Standard Time)","Equal","Equal"
"37080dca-b8d4-432b-8577-ee2966dfa206","","","More B","More A","0","More B","More A","Thu Apr 20 2023 23:02:44 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"9f65a904-8847-4f78-ac85-ac54c14fd138","","","More B","More B","0","More B","More B","Sat Apr 22 2023 18:25:02 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"16497ee9-9f63-4ac3-8cba-ca821cd434cc","","","More A","More B","1","More A","Equal","Tue Apr 18 2023 10:09:23 GMT-0300 (Horário Padrão de Brasília)","More B","Much More A"
"f8c3b30f-e66f-413a-83c6-9fc39c366a77","","","More A","Equal","1","More B","More A","Sat Apr 22 2023 11:25:33 GMT-0300 (Horário Padrão de Brasília)","Equal","Much More A"
"199a272e-eb22-4ae2-95fb-dd14c4fa208e","""Overfit on award data. My recommendations were all based on having won the same awards, which is reasonable but simplistic.""","""Reasonable, but trivial recommendations.""","Equal","Equal","0","Equal","Equal","Sat Apr 22 2023 17:45:19 GMT-0300 (Brasilia Standard Time)","Equal","Equal"
"2763ffe6-f1c6-4021-b053-e1323d9d0989","","Explanation A seems to Focus more on awards\n","Equal","Equal","0","Equal","Equal","Thu Apr 20 2023 06:46:43 GMT-0300 (Horário Padrão de Brasília)","Equal","Equal"
"eedfb2b0-6fa8-434b-90d8-43f9db8f0b5f","""Most of the recommendations were based on awards from the director, actors, and others. On the other hand, the recommendations based on casts (Group B) are more convenient and familiar to me. From my perspective, when I'm seeking a movie to watch, I generally tend to choose movies with similar casts, which is the case of the suggestions of group B, and consequently, as I agree more with that premise, I trust more in the B justification.""","""The recommendations were useful, convenient, and good choices based on the movies that I selected in the first phase.""","More B","Equal","0","More B","More B","Thu Apr 20 2023 13:51:19 GMT-0300 (Brasilia Standard Time)","More B","Equal"
"9c0919a4-762f-44b8-9c74-fbab1bb4e609","Explanation B in general provided more information and more friendly sentences.","""Recommendations focused more in awards that films reached. I believe that actors, director and best picture are more familiar to common users than technical categories.""","More B","Equal","1","More B","More B","Wed Apr 19 2023 20:29:04 GMT-0300 (Horário Padrão de Brasília)","More B","Equal"
"4d5557e0-f952-47ac-9592-ee5d08ea8ff1","","","Equal","Equal","0","Equal","Equal","Sun Apr 23 2023 15:54:55 GMT-0300 (Horário Padrão de Brasília)","Equal","Equal"
"8e5115a8-aee4-403a-a33a-81a9dc677d0c","","","Much More A","Equal","1","Much More A","Much More A","Sat Apr 22 2023 17:07:44 GMT-0300 (Horário Padrão de Brasília)","Much More A","Much More A"
"88bc749c-07dd-4c54-86dd-ba0ff6805bea","","","More A","Equal","1","More B","More A","Sat Apr 22 2023 17:47:38 GMT-0300 (Brasilia Standard Time)","More A","Much More B"
"6ac132c1-3b8a-4a65-bdcb-8a509c051b5e","Bad Justifications","Good Recommendations","More A","More B","0","More B","More A","Sat Apr 22 2023 10:47:59 GMT-0300 (Horário Padrão de Brasília)","Equal","More A"
"4d1107a0-b627-4a84-a05c-f80b4132fb32","","","More B","More B","1","More B","More B","Wed Apr 19 2023 19:01:22 GMT-0400 (Eastern Daylight Time)","More B","More B"
"e77947ce-1a03-4c88-a3b0-85067b7f6fcc","","","More B","More A","0","More B","More B","Thu Apr 13 2023 16:28:13 GMT-0300 (GMT-03:00)","Equal","Equal"
"b433b19b-b184-4bfa-ba9c-90c6329313ac","""I don't understand what you mean by """"family explanations"""". I like to discover new information about movies, so the explanations generated by the engine B were most useful to me.""","""Recommendations are consistent, which makes me trust the recommendation engine.""","More B","Equal","0","Much More B","More B","Mon Apr 17 2023 11:14:55 GMT-0300 (Horário Padrão de Brasília)","Much More B","Equal"
"3887e896-3fa0-477d-be09-af967ba31f91","","","More A","More B","0","More B","Much More A","Fri Apr 14 2023 16:13:07 GMT-0300 (Brasilia Standard Time)","More A","More A"
"537542f2-31b4-4ab6-a6ef-25fed9d64258","","","More B","More B","1","More B","Equal","Thu Apr 20 2023 12:27:41 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"2fff537b-f60f-4762-a300-e651a85c83e7","","","Equal","More A","1","More A","More A","Thu Apr 13 2023 11:25:05 GMT-0300 (Horário Padrão de Brasília)","Equal","More A"
"330036ae-330c-4fff-b455-ff819ae8adec","","""cast member James Earl Jones is not famous enough to make me see a new film because of him.  ""","Equal","Equal","0","More B","More A","Sun Apr 23 2023 23:17:17 GMT-0300 (Brasilia Standard Time)","More A","More A"